keyframe,timestamp
outputs/keyframes\keyframe_0000.jpg,00:00:00.000
outputs/keyframes\keyframe_0001.jpg,00:01:42.000
outputs/keyframes\keyframe_0002.jpg,00:03:51.000
outputs/keyframes\keyframe_0003.jpg,00:07:21.000
outputs/keyframes\keyframe_0004.jpg,00:11:57.000
outputs/keyframes\keyframe_0005.jpg,00:13:15.000
outputs/keyframes\keyframe_0006.jpg,00:13:42.000
outputs/keyframes\keyframe_0007.jpg,00:13:48.000
outputs/keyframes\keyframe_0008.jpg,00:16:48.000
outputs/keyframes\keyframe_0009.jpg,00:17:12.000
